Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
A&R Construction,http://www.arconstructionrc.com,,,Ridgecrest,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/62eb3ab258e64e00018f6fb6?overrideScoreId=score,,70,project management+58,http://www.linkedin.com/company/arconstructionrc,,,,,
"Jamestown Painting, Inc",http://www.jamestownpainting.com,,,Jamestown Painting,Inc,,,,,,apollo,"painting company, painting services - Inc",https://app.apollo.io/#/organizations/5ed4b0ede82ab60001a50ed9?overrideScoreId=score,32.8M,70,joint expansions+76,http://www.linkedin.com/company/jamestown-painting,https://facebook.com/jamestownpaintinginc,https://twitter.com/jamestownpaint,,,
VPI,http://www.vpi.net,,,Sacramento,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/5e297c6d9577ad00e05e9c9c?overrideScoreId=score,,70,project management+50,http://www.linkedin.com/company/vpipro,https://www.facebook.com/VPIpro/,,,,
General Coatings Corporation,http://www.gencoat.com,,,San Diego,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/673e4e5271ff6a01b0b0f13d?overrideScoreId=score,6.5M,68,waterproof coatings+47,http://www.linkedin.com/company/general-coatings-corporation,https://facebook.com/GenCoat,https://twitter.com/gencoat,,,
My Handyman,http://www.myhandymancolumbus.com,,,Westerville,Ohio,,,,,,apollo,"painting company, painting services - Ohio",https://app.apollo.io/#/organizations/55f1c537f3e5bb15d6003ae2?overrideScoreId=score,,68,exterior repairs+81,http://www.linkedin.com/company/my-handyman-columbus,https://www.facebook.com/HandymanColumbus,https://twitter.com/MyHandyman_Cbus,,,
American Exteriors,http://www.americanexteriors.com,,,Lorton,Virginia,,,,,,apollo,"painting company, painting services - Virginia",https://app.apollo.io/#/organizations/5592139d7369641865a05400?overrideScoreId=score,,68,timely completion+88,http://www.linkedin.com/company/american-exteriors,,,,,
Williams Professional Painting,http://www.williamsprofessionalpainting.com,,,Alexandria,Virginia,,,,,,apollo,"painting company, painting services - Virginia",https://app.apollo.io/#/organizations/54a1b7047468695c822f320a?overrideScoreId=score,30.1M,67,,http://www.linkedin.com/company/williams-professional-painting,https://www.facebook.com/williamsprofessionalpainting/,https://twitter.com/WilliamsPaint,,,
Painting Plus,http://www.paintingplus.com,,,Marietta,Georgia,,,,,,apollo,"painting company, painting services - Georgia",https://app.apollo.io/#/organizations/54a127d369702db878558b00?overrideScoreId=score,5.1M,67,siding contractor+98,http://www.linkedin.com/company/paintingplus,https://www.facebook.com/PaintingPlusGa/,,,,
SpecSys Inc.,http://www.specsys.com,,,Montevideo,Minnesota,,,,,,apollo,"painting company, painting services - Minnesota",https://app.apollo.io/#/organizations/5c2539a1f65125e24633ca2e?overrideScoreId=score,,66,contract manufacturing+61,http://www.linkedin.com/company/specsys-inc,https://www.facebook.com/specsys/,https://twitter.com/specsys_inc,,,
New Life Painting,http://www.new-life-painting.com,,,San Marcos,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a13c9069702d231f533702?overrideScoreId=score,,66,stucco repair+47,http://www.linkedin.com/company/new-life-painting,https://www.facebook.com/NewLifePaint/,https://twitter.com/newlifepainting,,,
Davis Painting,http://www.davispaintingco.com,,,Deer Park,Washington,,,,,,apollo,"painting company, painting services - Washington",https://app.apollo.io/#/organizations/645684109fd4b400a36471b9?overrideScoreId=score,,65,residential painting+91,http://www.linkedin.com/company/davis-painting,https://www.facebook.com/Davis-Painting-104383998949913,,,,
"TMI Coatings, LLC",http://www.tmicoatings.com,,,Saint Paul,Minnesota,,,,,,apollo,"painting company, painting services - Minnesota",https://app.apollo.io/#/organizations/54a19d6a74686945fad10202?overrideScoreId=score,5.8M,65,,http://www.linkedin.com/company/tmi-coatings-llc,https://facebook.com/TMICoatings,https://twitter.com/TMICoatings,,,
Pavement Markings LLC,http://www.sheridanpavementmarkings.com,,,Sheridan,Wyoming,,,,,,apollo,"painting company, painting services - Wyoming",https://app.apollo.io/#/organizations/5da3ee217e5db600018e0b45?overrideScoreId=score,,64,pavement striping+42,http://www.linkedin.com/company/pavement-markings-llc,https://www.facebook.com/Pavementmarkingsllc/,,,,
Service Painting Corporation,http://www.servicepainting.com,,,Tampa,Florida,,,,,,apollo,"painting company, painting services - Florida",https://app.apollo.io/#/organizations/55923d947369642393579100?overrideScoreId=score,5.8M,63,commercial painting+54,http://www.linkedin.com/company/service-painting-corporation,,,,,
