Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Davis Painting,http://www.davispaintingco.com,,,Deer Park,Washington,,,,,,apollo,"Painting services, painting company - Washington",https://app.apollo.io/#/organizations/645684109fd4b400a36471b9?overrideScoreId=score,,,residential painting+91,http://www.linkedin.com/company/davis-painting,https://www.facebook.com/Davis-Painting-104383998949913,,,,
Copperhead Inc.,http://www.copperheadconstruction.com,,,Nashville,Tennessee,,,,,,apollo,"Painting services, painting company - Tennessee",https://app.apollo.io/#/organizations/5da3821aba58a30001181650?overrideScoreId=score,,,design/build+33,http://www.linkedin.com/company/copperheadinc,,,,,
"TMI Coatings, LLC",http://www.tmicoatings.com,,,Saint Paul,Minnesota,,,,,,apollo,"Painting services, painting company - Minnesota",https://app.apollo.io/#/organizations/54a19d6a74686945fad10202?overrideScoreId=score,5.8M,,,http://www.linkedin.com/company/tmi-coatings-llc,https://facebook.com/TMICoatings,https://twitter.com/TMICoatings,,,
Pavement Markings LLC,http://www.sheridanpavementmarkings.com,,,Sheridan,Wyoming,,,,,,apollo,"Painting services, painting company - Wyoming",https://app.apollo.io/#/organizations/5da3ee217e5db600018e0b45?overrideScoreId=score,,,pavement striping+42,http://www.linkedin.com/company/pavement-markings-llc,https://www.facebook.com/Pavementmarkingsllc/,,,,
Service Painting Corporation,http://www.servicepainting.com,,,Tampa,Florida,,,,,,apollo,"Painting services, painting company - Florida",https://app.apollo.io/#/organizations/55923d947369642393579100?overrideScoreId=score,5.8M,,commercial painting+54,http://www.linkedin.com/company/service-painting-corporation,,,,,
"Metro Construction, Inc",http://www.mymetroconstruction.com,,,Metro Construction,Inc,,,,,,apollo,"Painting services, painting company - Inc",https://app.apollo.io/#/organizations/54a12b1f69702decc5f50000?overrideScoreId=score,7.2M,,general contracting+56,http://www.linkedin.com/company/metro-construction-inc,https://facebook.com/MetroConstruction,https://twitter.com/MyMetroCon,,,
Excel Roofing,http://www.excelroofing.com,,,Englewood,Colorado,,,,,,apollo,"Painting services, painting company - Colorado",https://app.apollo.io/#/organizations/5a9e0d79a6da98d935698f66?overrideScoreId=score,26.9M,,roofingwindows+87,http://www.linkedin.com/company/excel-roofing,https://www.facebook.com/ExcelRoofingInc,https://twitter.com/excelroofinginc,,,
"Mark Beamish Waterproofing, Inc.",http://www.markbeamish.com,,,Mark Beamish Waterproofing,Inc.,,,,,,apollo,"Painting services, painting company - Inc.",https://app.apollo.io/#/organizations/54a25e7574686935beeba21d?overrideScoreId=score,13.0M,,,http://www.linkedin.com/company/mark-beamish-waterproofing,https://facebook.com/markbeamishwaterproofing,https://twitter.com/mbw_1981,,,
Optiline Enterprises,http://www.optiline.com,,,Nashua,New Hampshire,,,,,,apollo,"Painting services, painting company - New Hampshire",https://app.apollo.io/#/organizations/5b8631f3f874f72e47be89d6?overrideScoreId=score,,,,http://www.linkedin.com/company/optiline-enterprises,,https://twitter.com/OptilineEnt,,,
"NJR CONSTRUCTION, LLC",http://www.njr-construction.com,,,Gastonia,North Carolina,,,,,,apollo,"Painting services, painting company - North Carolina",https://app.apollo.io/#/organizations/5da470cce3ed0a00019a8047?overrideScoreId=score,,,metal framing+59,http://www.linkedin.com/company/njr-construction-llc,https://www.facebook.com/profile.php,,,,
Dl Construction,http://www.dl-constructiongroup.com,,,Warren,Ohio,,,,,,apollo,"Painting services, painting company - Ohio",https://app.apollo.io/#/organizations/65fbca7bcac7f800073a8655?overrideScoreId=score,,,,http://www.linkedin.com/company/dl-construction,,,,,
Painter Ready Group,http://www.painter-ready.com,,,Nashville,Tennessee,,,,,,apollo,"Painting services, painting company - Tennessee",https://app.apollo.io/#/organizations/54a1b75f746869401240a20a?overrideScoreId=score,,,retail painting+50,http://www.linkedin.com/company/painter-ready-group,https://facebook.com/PainterReadyChattanooga,,,,
Cobra Electric,http://www.cobraelectric.com,,,Baton Rouge,Louisiana,,,,,,apollo,"Painting services, painting company - Louisiana",https://app.apollo.io/#/organizations/55ee7e31f3e5bb22c8001d09?overrideScoreId=score,12.4M,,traffic sensors+46,http://www.linkedin.com/company/cobra-electric,,,,,
"Common Links Construction, LLC",http://www.clcbuild.com,,,Brookfield,Wisconsin,,,,,,apollo,"Painting services, painting company - Wisconsin",https://app.apollo.io/#/organizations/54a1273f69702dc841641500?overrideScoreId=score,31.5M,,,http://www.linkedin.com/company/common-links-construction-llc,,,,,
