Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
"Extreme Drywall Concepts, LLC",http://www.extremedrywallconcepts.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5da53c2e91250a0001da6a0d?overrideScoreId=score,,32,metal stud framing+57,http://www.linkedin.com/company/extremedrywallconcepts,https://www.facebook.com/extremedrywallconcepts,,,,
"Accent Building Restoration, Inc (ABR)",http://www.abrusa.com,,,Accent Building Restoration,Inc (ABR),,,,,,apollo,"painting company, painting services - Inc (ABR)",https://app.apollo.io/#/organizations/54a1b96e746869547592370b?overrideScoreId=score,,31,construction+39,http://www.linkedin.com/company/accent-building-restoration-inc-abr-,https://facebook.com/goabr,https://twitter.com/abrusa,,,
"Adobe Drywall, LLC",http://www.adobedrywall.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5f424b95e0ac040001853667?overrideScoreId=score,,30,drywall+51,http://www.linkedin.com/company/adobedrywall,,,,,
"Design Drywall West, Inc.",http://www.designdrywallwest.com,,,Design Drywall West,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/5d095460f65125d6974a0101?overrideScoreId=score,,24,construction+40,http://www.linkedin.com/company/design-drywall-west-inc,https://www.facebook.com/designdrywallwest,,,,
"JOHANSEN INTERIORS, LLC",http://www.johanseninteriors.net,,,Chandler,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5b14a9b5a6da98712ec048a6?overrideScoreId=score,,24,retail construction+91,http://www.linkedin.com/company/johansen-interiors-llc,https://www.facebook.com/Johanseninteriors/,,,,
"Indigo Contracting, LLC dba Indigo Paint & Contracting",http://www.indigocontracting.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5569ee6d736964255da0b300?overrideScoreId=score,,23,repaintingretail+64,http://www.linkedin.com/company/indigo-paint-&-contracting,https://facebook.com/IndigoContracting,,,,
LUXOR PAINTING INC.,http://www.luxorpaintinginc.com,,,Tempe,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/54fca42b7369647e12331d00?overrideScoreId=score,,19,commercial painting+64,http://www.linkedin.com/company/luxor-painting-inc-,https://www.facebook.com/LuxorPaintingInc,https://twitter.com/painting_luxor,,,
"CDS Framing, Inc.",http://www.cdsframing.com,,,CDS Framing,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/54a12a4b69702db6487cfb01?overrideScoreId=score,,18,drywall+54,http://www.linkedin.com/company/cds-framing-inc.,,,,,
Apodaca Wall Systems,http://www.apodacainc.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/650163c1cc44590001edeada?overrideScoreId=score,,17,stuccopaint+52,http://www.linkedin.com/company/apodaca-wall-systems,https://facebook.com/stampedpassportphotography,https://twitter.com/StampedPassport,,,
Evolution Construction Services,,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/624f0905b46ac300a59b9b6a?overrideScoreId=score,,17,property maintenance+23,http://www.linkedin.com/company/evolutionarizona,,,,,
"Nelson J. Greer Painting Contractors, Inc",http://www.nelsongreerpainting.com,,,Nelson J. Greer Painting Contractors,Inc,,,,,,apollo,"painting company, painting services - Inc",https://app.apollo.io/#/organizations/54a1aecf74686949e702a807?overrideScoreId=score,,17,commercial buildings+76,http://www.linkedin.com/company/nelson-j-greer-painting-contr,https://facebook.com/nelson-j-greer-painting-111711240607701,,,,
Wall Assemblies,http://www.wallassemblies.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5e55a3768184b40001fd8fbc?overrideScoreId=score,,16,drywall+50,http://www.linkedin.com/company/wallassemblies,,,,,
AO Services LLC,http://www.aoservicesco.com,,,Tempe,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5fcab031b6fa100001d6d101?overrideScoreId=score,,13,mold remediation+67,http://www.linkedin.com/company/aoservicesllc,,,,,
Fine Point Finishes,http://www.finepointfinishes.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5e55a1002361de000119e0ff?overrideScoreId=score,,13,remodeling+67,http://www.linkedin.com/company/fine-point-finishes-az,https://facebook.com/finepointfinishes,,,,
"Skyline Builders & Restoration, Inc.",http://www.azsbr.com,,,Skyline Builders & Restoration,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/65c9f9125095f70001b97aa2?overrideScoreId=score,,12,client relationships+52,http://www.linkedin.com/company/skyline-builders-&-restoration-inc.,,,,,
AKP SERVICES,http://www.akpservices.com,,,Tempe,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/5e55d162f453b00001843a6c?overrideScoreId=score,,12,painting+65,http://www.linkedin.com/company/akpservices,https://www.facebook.com/AKPServicesUSA/,https://twitter.com/AkpServices,,,
Danny White Painting Inc.,http://www.dannywhitepainting.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/55f73256f3e5bb190e023f43?overrideScoreId=score,,12,quality workmanship+34,http://www.linkedin.com/company/danny-white-painting-inc-,,,,,
TWD - Design. Build. Remodel.,http://www.twdaz.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/54a1289069702d9b8b3a3101?overrideScoreId=score,,12,home improvement+66,http://www.linkedin.com/company/todd-whittaker-drywall-inc-,https://facebook.com/ToddWhittakerDrywall,https://twitter.com/TWDAZ,,,
Alder Home Craft,http://www.alderhomecraft.com,,,Gilbert,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/665687234cebd8034a8f473a?overrideScoreId=score,,10,,http://www.linkedin.com/company/alderhomecraft,,,,,
Painting Solutions Inc.,http://www.paintingsolutionsaz.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/614d81da3a98da000123ce57?overrideScoreId=score,,10,epoxy coatings+82,http://www.linkedin.com/company/painting-solutions-inc,https://www.facebook.com/PaintingSolutionsAZ/,,,,
Country Boys Painting,http://www.countryboyspainting.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/56e6ea80f3e5bb3a24013090?overrideScoreId=score,,10,maintenance painting+37,http://www.linkedin.com/company/country-boys-painting,,,,,
Arizona Professional Painting,http://www.azpropaint.com,,,Phoenix,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/54a11c2969702d84c5458200?overrideScoreId=score,,10,,http://www.linkedin.com/company/arizona-professional-painting,https://www.facebook.com/AZProPaint/,,,,
"ALLSTAR PRO PAINTING, LLC",http://www.allstarpropainting.com,,,Gilbert,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/60aec6571c8ffa000192b6d0?overrideScoreId=score,,8,,http://www.linkedin.com/company/allstarpropainting,,,,,
